test_case,size,Merge Sort,Quick Sort
random,100k,0.3814697265625,6.67572021484375e-05
random,500k,1.9073486328125,7.534027099609375e-05
random,1000k,3.814697265625,7.915496826171875e-05
nearly_sorted,100k,0.3814697265625,6.67572021484375e-05
nearly_sorted,500k,1.9073486328125,7.534027099609375e-05
nearly_sorted,1000k,3.814697265625,7.915496826171875e-05
reverse_sorted,100k,0.3814697265625,6.67572021484375e-05
reverse_sorted,500k,1.9073486328125,7.534027099609375e-05
reverse_sorted,1000k,3.814697265625,7.915496826171875e-05
