test_case,size,Merge Sort,Quick Sort
random,100k,0.035044873472,0.019764289828999998
random,500k,0.1948004618,0.10854017715
random,1000k,0.39712613757290494,0.22338059633684643
nearly_sorted,100k,0.027334791919999997,0.012867063838
nearly_sorted,500k,0.151829438,0.06921747661199999
nearly_sorted,1000k,0.30278526924,0.13855493276000003
reverse_sorted,100k,0.024467171404,0.012124007126000001
reverse_sorted,500k,0.13666832518,0.064943900247
reverse_sorted,1000k,0.2890789656116074,0.1359992838952858
